Entidad o Division,Titulo de Investigación,ids,Periodo,Detalle de Investigación,palabras clave,Decálogo,Gobernanza y capacidades TOPP,Sectores impulsores,Brechas Atendidas,Sectores Atendidos,Preguntas Agenda Común,Tópicos CEPAL
CELADE,Estudio sobre estimación de costos de cuidados de largo plazo para personas mayores,CELADE-WL-1,WL,"Con el envejecimiento de la población y las tendencias futuras de discapacidad, ¿cuánto se espera que aumente la demanda y oferta de servicios de cuidados de largo plazo?  ¿Cuál es el costo asociado a las demandas, tanto formales como informales, del cuidado de largo plazo?, ¿Cuál es el impacto de la demanda de cuidados de largo plazo en la economía de los cuidados?","cuidados de largo plazo, personas mayores, envejecimiento poblacional, discapacidad, servicios de cuidado, demanda de servicios, costo de cuidado, economía de cuidado","Se aborda la alta desigualdad, así como la alta desigualdad de género y las brechas de protección social en un contexto de espacios fiscales limitados y altos costos del financiamiento",Se espera fortalecer las capacidades técnicas de las instituciones públicas en la estimación y proyección de costos de cuidados de largo plazo de personas mayores y fortalecer sus capacidades para formular políticas y planes públicos que consideren las demandas presentes y futuras de los cuidados de largo plazo en la región.,Se ha identificado como sector primario de impacto el sector de los cuidados.,"2, 3, 9, 10",5,¿Cómo afectan los procesos de envejecimiento y baja fecundidad a la demanda y oferta de servicios de cuidados de largo plazo?,"ENVEJECIMIENTO, DEMOGRAFÍA, ECONOMÍA DEL CUIDADO, POLÍTICAS DE CUIDADO, PROTECCIÓN SOCIAL, SALUD, PERSONAS CON DISCAPACIDAD"
DDS,Estudio sobre la Medición multidimensional de la Desigualdad Social,DDS-25/26-1,25/26,"¿Cuáles son las dimensiones sociales en las que se manifiesta la desigualdad? ¿Cómo medir desigualdad multidimensional considerando otras variables relevantes, además del ingreso? ¿Cómo darle una expresión estadística a la reflexión en torno a la matriz de la desigualdad social?","desigualdad social, medición multidimensional, dimensiones sociales, ingreso, variables relevantes, matriz de desigualdad","La principal brecha abordada es la alta desigualdad y baja movilidad y cohesión social Como subtema se avanzará en un indicador que permita la medición de la desigualdad multidimensional, considerando los determinantes sociales. ",Este tema abordará el fortalecimiento de capacidades técnicas en la medida que permite generar políticas integrales con enfoques transversales que entiendan la desigualdad desde una perspectiva multidimensional.,No se abordaría un sector impulsor específicamente,2,,¿Cómo se mide la calidad de la protección social y qué factores influyen en su variabilidad entre diferentes grupos sociales?,"DESIGUALDAD, ESTADÍSTICAS SOCIALES, DISTRIBUCIÓN DEL INGRESO,  ESTRATIFICACIÓN Y MOVILIDAD SOCIAL"
DDS,Desigualdad y educación: Políticas educativas,DDS-25/26-2,25/26,¿De qué manera las políticas educativas pueden reducir las brechas de desigualdad?,"desigualdad, educación, políticas educativas, brechas sociales, igualdad de oportunidades, acceso a la educación","El estudio aborda los desafíos de dos temas del decálogo: Sistemas educativos y de formación profesional débiles y la alta desigualdad.  Como subtema, este estudio ahondará en las recomendaciones de política que son necesarias para avanzar en el cierre de brechas educativas",La investigación ahondará en el fortalecimiento de capacidades técnicas de instituciones públicas al generar políticas integrales que incluyan la reducción de la desigualdad educativa.,No se considera análisis específico de algún sector,"2, 4",,Desigualdad étnica: ¿Qué políticas han sido efectivas en reducir la desigualdad étnica y qué lecciones se pueden aprender?,"DESIGUALDAD, EDUCACIÓN, POLÍTICAS PÚBLICAS, DESARROLLO INCLUSIVO, COHESIÓN SOCIAL, ESTRATIFICACIÓN Y MOVILIDAD SOCIAL"
DDS,Estudio sobre Juventud y la formación técnico profesional en el marco de la creciente transformación digital.,DDS-25/26-3,25/26,¿Cómo la formación técnico profesional puede responder a las nuevas demandas del sector laboral frente a la transformación digital?  ¿Cuáles son las brechas que existen en la formación técnico profesional que respondan a los desafíos de la digitalización?,"formación técnico profesional, transformación digital, educación, sector laboral, digitalización, brechas formativas","El estudio aborda los desafíos de dos temas del decálogo: Sistemas educativos y de formación profesional débiles y la brecha digital.  Los sistemas educativos deben proveer de herramientas a las y los jóvenes para su transición al mercado laboral, donde la formación técnico profesional resulta ser un aliado para facilitar esta transición en un mundo altamente digitalizado. ",Se espera que el estudio permita fortalecer capacidades técnicas y políticas de instituciones públicas con la generación de políticas que permitan el cierre de brechas en la población joven en relación a su transición hacia el mercado laboral. ,No se considera análisis específico de algún sector,"4, 6",,¿Cómo la formación técnico profesional puede responder a las nuevas demandas del sector laboral frente a la transformación digital?,"EDUCACIÓN, EMPLEO, CAPACITACIÓN, INNOVACIÓN CIENCIA Y TECNOLOGÍA, JUVENTUD, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DDS,"Estudio sobre Desigualdad, informalidad e inclusión laboral",DDS-25/26-4,25/26,"¿Cómo el mercado laboral es fuente de desigualdad y a la vez, la desigualdad impacta al mercado laboral? ¿Cómo la informalidad limita la reducción de la desigualdad y viceversa? ¿Qué políticas del mercado laboral son clave para enfrentar la desigualdad?","desigualdad, informalidad laboral, inclusión laboral, mercado laboral, políticas laborales","El análisis permitirá avanzar en los desafíos sobre el crecimiento económico y la baja creación de empleo formal, así también sobre la alta desigualdad y baja movilidad.  Entre los subtemas a estudiar se considera la interrelación que existe entre el mercado laboral y la desigualdad en la región. ",La investigación ahondará en el fortalecimiento de capacidades técnicas y políticas de instituciones públicas en relación son las políticas de inclusión laboral que reduzcan la desigualdad.,No se considera análisis específico de algún sector,"1, 2",,Distribución del ingreso: ¿Cómo afectan los niveles de informalidad en el mercado laboral a la distribución del ingreso?,"DESIGUALDAD, INCLUSIÓN LABORAL, EMPLEO, POLÍTICA LABORAL"
DDS,Inclusión laboral y su vínculo con la protección social,DDS-25/26-5,25/26,"En un contexto de reconfiguración de los riesgos sociales, ¿qué políticas de protección social permitirán viabilizar la inclusión laboral?  ¿Qué respuestas pueden generarse desde la protección social para viabilizar una transición justa en su vínculo con la inclusión laboral? A su vez, ¿Qué políticas activas del mercado laboral permiten expandir la cobertura de protección social y pueden ser expandidas?","inclusión laboral, protección social, políticas sociales, mercado laboral, transición justa, cobertura social","El estudio ahondará en las brechas existentes de los sistemas de protección social para viabilizar la inclusión laboral, profundizando en el vínculo entre las políticas de protección social y políticas activas de mercado de trabajo que permitirán impulsar una transición justa en un contexto de transformación en la estructura de riesgos. A su vez, el estudio abordará las implicancias para  la reducción de las desigualdades, el crecimiento económico y la creación de empleo formal de estas políticas. ","Se espera que el estudio permita fortalecer capacidades políticas de instituciones públicas, así como técnicas al generar políticas integrales de protección social a la población. ",No se considera análisis específico de algún sector,"1, 3",,¿Qué papel juegan las políticas de formalización del empleo en la cobertura de la protección social?,"INCLUSIÓN LABORAL, PROTECCION SOCIAL, EMPLEO, POLÍTICAS PÚBLICAS"
DDS,Investigación sobre Inclusión laboral para la sostenibilidad con pactos sociales futuros. ,DDS-25/26-6,25/26,¿Cómo avanzar en recomendaciones para fortalecer la capacidad de los países para la generación de políticas de empleo hacia una transición justa? ¿Cuál será el impacto potencial de la transición justa en el mercado laboral en contexto de alta desigualdad e informalidad?,"inclusión laboral, sostenibilidad, pactos sociales, transición justa, políticas de empleo, mercado laboral, desigualdad, informalidad",El estudio ahondará en las brechas existentes de los sistemas de protección social y en recomendaciones para el desarrollo ambientalmente sostenible relacionado con el mercado laboral.,La investigación ahondará en el fortalecimiento de capacidades técnicas y políticas de instituciones públicas en relación son las políticas de inclusión laboral que reduzcan la desigualdad.,No se considera análisis específico de algún sector,3,,,"EMPLEO, DESARROLLO SOSTENIBLE, DESIGUALDAD, INCLUSIÓN LABORAL, CAMBIO ESTRUCTURAL, POLÍTICAS PÚBLICAS, COHESIÓN SOCIAL"
DDS,Análisis sobre la centralidad de la articulación entre los sistemas de salud y los demás componentes de la protección social en contextos de pandemia o eventos catastróficos,DDS-25/26-7,25/26,¿Cuáles son los principales arreglos institucionales o políticas integrales o intersectoriales que permitan garantizar salud universal en contexto de pandemia o catástrofes?,"salud universal, protección social, sistemas de salud, pandemia, eventos catastróficos, políticas integrales, arreglos institucionales, intersectorialidad","El análisis aportará para avanzar al cierre de la brecha de los sistemas de protección social, así como realizar un análisis sobre la sostenibilidad financiera.  Entre los subtemas que abordará destaca la gobernanza de las políticas de salud y la necesidad de coordinación intersectorial. ",La investigación ahondará en el fortalecimiento de capacidades técnicas y políticas de las instituciones de salud. La intersectorialidad aborda también temas de la gobernanza de las políticas de salud para la respuesta ante contextos de catástrofe. ,No se abordarán sectores impulsores,3,,,"SALUD, PROTECCIÓN SOCIAL, POLÍTICAS PÚBLICAS, DESASTRES, INSTITUCIONALIDAD SOCIAL"
DDS,Un estudio sobre las implicancias de la protección social digital para la gestión de los sistemas de pensiones; ,DDS-25/26-8,25/26,¿Cómo avanzar en la protección social digital en los sistemas de pensiones para apoyar estrategias de reducción de las desigualdades?,"protección social, pensiones, sistemas de pensiones, reducción de desigualdades, gestión de pensiones","El principal desafío abordado son las brechas de los sistemas de protección social. Como elementos de contexto y para las recomendaciones de política pública se abordarán también la alta desigualdad y los desafíos en la generación de empleo decente y los espacios fiscales limitados. Entre los subtemas a estudiar se considera el impacto de la digitalización en los sistemas de pensiones, sus desafíos y oportunidades. Otro subtema que ese abordará es la institucionalidad de los sistemas de pensiones, con foco en la gobernanza. ","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de tomar en cuenta los nuevos riesgos que enfrenta la población y que repercuten en la cobertura, suficiencia  y sostenibilidad financiera de los sistemas de pensiones. ",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados y el gobierno digital.,"2, 3, 10","5, 7",¿Qué impacto tiene la calidad de la protección social en la reducción de la pobreza y la desigualdad?,"PROTECCIÓN SOCIAL, PENSIONES, DESIGUALDAD, GOBIERNO DIGITAL, POLÍTICAS PÚBLICAS"
DDS,"Un Estudio sobre los desafíos de la institucionalidad de los sistemas de pensiones y sus instrumentos de gobernanza, con recomendaciones para el fortalecimiento de los sistemas integrales de pensiones en los países; ",DDS-25/26-9,25/26,¿Cuáles son los desafíos de las instituciones y la coordinación intersectorial para la implementación de sistemas de pensiones integrados en sus componentes contributivo y no contributivo en la región?,"sistemas de pensiones, institucionalidad, gobernanza, fortalecimiento, coordinación intersectorial, implementación, componentes contributivo, componentes no contributivo","El principal desafío abordado son las brechas de los sistemas de protección social. Como elementos de contexto y para las recomendaciones de política pública se abordarán también la alta desigualdad y los desafíos en la generación de empleo decente y los espacios fiscales limitados. Entre los subtemas a estudiar se considera el impacto de la digitalización en los sistemas de pensiones, sus desafíos y oportunidades. Otro subtema que ese abordará es la institucionalidad de los sistemas de pensiones, con foco en la gobernanza. ","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de tomar en cuenta los nuevos riesgos que enfrenta la población y que repercuten en la cobertura, suficiencia  y sostenibilidad financiera de los sistemas de pensiones. ",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados y el gobierno digital.,"1,2,3,10","5,7",,"PENSIONES, INSTITUCIONALIDAD SOCIAL, PROTECCIÓN SOCIAL, GESTIÓN PÚBLICA, POLÍTICAS PÚBLICAS"
DDS,Estudio Panorama Social de la Cohesión Social en América Latina y el Caribe,DDS-25/26-10,25/26,¿Cómo ha evolucionado la cohesión social en los últimos años en la región? ¿Cuáles son las brechas institucionales en la región en relación a la cohesión social? ¿Qué ha pasado con el sentido de pertenencia en las sociedades latinoamericanas frente a los cambios experimentados en los últimos años?,"cohesión social, panorama social, brechas institucionales, sentido de pertenencia, sociedades latinoamericanas","La principal brecha abordada es alta desigualdad y baja movilidad y cohesión sociales Como elementos de contexto y para la revisión de indicadores se abordarán también Flujos migratorios intra-regionales crecientes en cantidad y diversidad, las brechas de protección social.",Por medio de la investigación se espera fortalecer las capacidades TOPP de las instituciones sociales. ,No se consideran sectores,"2,3,7",,Movilidad social: ¿Cómo afecta la desigualdad a la cohesión social y qué políticas pueden promover una mayor cohesión?,"COHESIÓN SOCIAL, DESIGUALDAD, DESARROLLO INCLUSIVO, INSTITUCIONALIDAD SOCIAL, ESTADÍSTICAS SOCIALES, POBREZA, PARTICIPACIÓN CIUDADANA"
DDS,Estudio regional sobre institucionalidad de las políticas sociales para la cohesión social,DDS-25/26-11,25/26,¿Cómo se perfila la institucionalidad de las políticas sociales en la cohesión social en los países de la región?,"política social, institucionalidad, cohesión social, desarrollo regional",La principal brecha abordada es alta desigualdad y baja movilidad y cohesión sociales Esta pregunta permitirá explorar cómo las diferentes estructuras y enfoques de las políticas sociales pueden afectar la cohesión social en diversas áreas.,Por medio de la investigación se espera fortalecer las capacidades TOPP de las instituciones sociales. ,No se consideran sectores,2,,Movilidad social: ¿Cómo afecta la desigualdad a la cohesión social y qué políticas pueden promover una mayor cohesión?,"COHESIÓN SOCIAL, INSTITUCIONALIDAD SOCIAL, POLÍTICAS Y PROGRAMAS SOCIALES,  PROTECCIÓN SOCIAL"
DDS,Estudio sobre políticas de cohesión social,DDS-25/26-12,25/26,¿Cuáles son las políticas que permiten fortalecer el pilar de bienestar social para la cohesión social? ¿qué recomendaciones se pueden dar para fortalecer el pilar de gobernanza e institucionalidad de la cohesión social?,"cohesión social, políticas públicas, bienestar social, gobernanza, institucionalidad",La principal brecha abordada es alta desigualdad y baja movilidad y cohesión sociales Esta investigación analizará como construir un marco institucional robusto y eficiente que promueva la cohesión social de manera integral y sostenible.,Por medio de la investigación se espera fortalecer las capacidades TOPP de las instituciones sociales. ,No se consideran sectores,2,,Movilidad social: ¿Cómo afecta la desigualdad a la cohesión social y qué políticas pueden promover una mayor cohesión?,"COHESIÓN SOCIAL, POLÍTICAS PÚBLICAS, DESARROLLO INCLUSIVO, PROTECCIÓN SOCIAL, DERECHOS SOCIALES, INSTITUCIONALIDAD SOCIAL"
DDS,Estudio sobre la Protección social como una política al centro de las estrategias de desarrollo de los países.,DDS-25/26-13,25/26,"¿Qué resultados han mostrado las políticas de protección social no contributivas implementadas en la región en la reducción de la pobreza y la desigualdad?  ¿Qué políticas contribuyen en mayor grado a estos objetivos, al incremento en la formalización y al crecimiento económico y qué articulaciones clave deben ser fortalecidas entre las políticas contributivas, no contributivas y de cuidados de los sistemas de protección social?  Frente a los desafíos de una transición justa, en un contexto de cambio en la estructura de riesgos, ¿qué políticas de protección social son clave para avanzar en estos objetivos de manera sinérgica? ","protección social, políticas de desarrollo, reducción de la pobreza, desigualdad, formalización, crecimiento económico, sistemas de protección social, transición justa, riesgos","El principal desafío abordado son las brechas de los sistemas de protección social. Los estudios buscarán recomendaciones basadas en evidencia sobre 25 años de la expansión de los sistemas de protección social en la región, con principal foco en las políticas de protección social no contributiva y las articulaciones entre protección social contributiva, no contributiva y políticas de cuidados. Generarán análisis sobre sus impactos en la reducción de la pobreza y la reducción de las desigualdades en ámbitos estratégicos (por ejemplo, infancia), así como en ámbitos vinculados al crecimiento económico, productividad y formalización del mercado laboral. Se enfatizará la generación de recomendaciones de políticas que puedan ser discutidas con los países de la región y en intercambio con organismos de investigación en otras regiones. ","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de tomar en cuenta los nuevos riesgos que enfrenta la población y que repercuten en la cobertura, suficiencia y sostenibilidad de los sistemas de protección social, así como las capacidades TOPP de las instituciones sociales",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados y el gobierno digital,"1, 3","5, 7",¿Qué impacto tiene la calidad de la protección social en la reducción de la pobreza y la desigualdad?,"PROTECCION SOCIAL, POBREZA, DESIGUALDAD, POLÍTICAS PÚBLICAS, DESARROLLO SOSTENIBLE, CRECIMIENTO ECONÓMICO, EMPLEO"
DDS,Estudio sobre la implicancia de la Inteligencia Artificial para la protección social,DDS-WL-1,WL,¿Qué nuevos desafíos y oportunidades para la inclusión social debido al avance de la Inteligencia Artificial deben ser atendidos por la política social? ¿Qué consideraciones específicas debe adoptar el diseño de las políticas de protección social frente a estos desafíos? ¿Cuáles son los desafíos de la política social que surgen por la expansión de la inteligencia artificial? ¿Qué implicancias institucionales tiene la inclusión de tecnologías como la inteligencia artificial en la protección social?,"inteligencia artificial, protección social, inclusión social, política social, tecnologías emergentes",La principal brecha abordada es la brecha de protección social,Este tema abordará el fortalecimiento de capacidades técnicas de las instituciones públicas la entender las implicancias del uso de la Inteligencia Artificial en las políticas de protección social.,No se abordaría un sector impulsor específicamente,3,,,"PROTECCION SOCIAL, POLÍTICAS PÚBLICAS, DESARROLLO INCLUSIVO, INNOVACIÓN SOCIAL, GOBIERNO DIGITAL, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DDS,Determinantes sociales de la Salud mental,DDS-WL-2,WL,¿Cuáles son los determinantes sociales de la salud mental que predominan en la región? ¿Qué políticas de protección social son prioritarias para reducir el impacto de la salud mental en el bienestar de la población?,"salud mental, determinantes sociales, bienestar, población, políticas de protección social",La principal brecha abordada es la de los sistemas de protección social.  Como subtema se abordará el impacto de la salud mental en el bienestar de la población y su desarrollo personas y productivo. ,Este tema abordará el fortalecimiento de capacidades técnicas de las instituciones públicas la incorporar un enfoque integral en el análisis de la salud mental con foco en los determinantes sociales. ,No se abordaría un sector impulsor específicamente,3,,,"SALUD, POLÍTICAS PÚBLICAS, PROTECCIÓN SOCIAL, DESARROLLO INCLUSIVO"
DDS,Protección social y discapacidad,DDS-WL-3,WL,"¿Principales obstáculos que tienen las personas con discapacidad para ejercer su derecho a la salud y acceder a los sistemas de protección social?  ¿Cuáles políticas que ayudan a la reducción de esos obstáculos? ¿Qué consideraciones deben tener las políticas estratégicas de los sistemas de protección social, incluyendo las políticas de cuidado, de inclusión laboral y los sistemas de pensiones y de salud, para atender a las necesidades específicas de las personas con discapacidad?","protección social, discapacidad, acceso a la salud, sistemas de protección, políticas inclusivas, cuidado, inclusión laboral, pensiones, necesidades específicas","La principal brecha abordada es la de los sistemas de protección social.  Como subtema se abordarán los desafíos de los sistemas de protección social para la prestación a personas con discapacidad, con énfasis en los sistemas de salud y sistemas de pensiones, entre otros ámbitos.",Este tema abordará el fortalecimiento de capacidades técnicas de las instituciones públicas la incorporar un enfoque integral en el análisis de la discapacidad con foco en los determinantes sociales.,No se abordaría un sector impulsor específicamente,3,,,"PROTECCION SOCIAL, PERSONAS CON DISCAPACIDAD, SALUD, INCLUSIÓN LABORAL, PENSIONES, DERECHOS SOCIALES, POLÍTICAS PÚBLICAS"
CEPAL BOG,Estudio sobre capacidades de Desarrollo Productivo a nivel subnacional en un territorio colombiano. ,CEPAL BOG-25/26-1,25/26,Se busca generar metodologías para identificar oportunidades de desarrollo productivo en los territorios que generen una mayor atracción de inversión y desarrollo. : ¿cuáles son los mecanismos o acciones que permiten incrementar las inversiones productivas en los territorios?  ¿Cuáles capacidades se requieren desde los gobiernos locales para generar ambientes propicios para la creación de empresas y el incremento de la productividad? ¿Cuáles modelos de gobernanzas la gestión transformativa de las capacidades productivas?,"desarrollo productivo, capacidades subnacionales, oportunidades de inversión, atracción de inversión, desarrollo territorial, metodologías de identificación, inversión productiva, gobiernos locales, ambientes empresariales, creación de empresas, productividad, gobernanzas transformativas","La principal brecha que busca atender esta agenda de investigación es la del Crecimiento económico bajo, volátil, excluyente y no sostenible, con baja creación de empleo formal.  Adicional a ello, para desarrollar la investigación se requiere tener en cuenta desafíos como la elevada desigualdad y baja movilidad y cohesión sociales, sistemas educativos y de formación profesional débiles, brecha digital y alta desigualdad de género.","Por medio de esta agenda de investigación se buscaría fortalecer las capacidades de gobiernos subnacionales para mejorar la atracción de inversión y la generación de confianza para los negocios, lo cual podría eventualmente llevarse a cabo mediante el impulso de iniciativas clúster que aprovechen las ventajas comparativas de los territorios, así como, el impulso de la diversificación productiva. ","Los sectores impulsores se definirán de acuerdo con las capacidades de los territorios, pero inicialmente se esperan fortalecer actividades económicas que promuevan la reindustrialización y los servicios como las TIC, la sociedad del cuidado, industrias farmacéuticas y ciencias de la vida, entre otros. ","1, 2, 4, 6, 9","1, 4, 5",Productividad:¿Cómo es el proceso de investigación y desarrollo en la región?,"DESARROLLO TERRITORIAL, INVERSIÓN, DESARROLLO INDUSTRIAL, PRODUCTIVIDAD, ESTRATEGIAS EMPRESARIALES, POLÍTICAS PÚBLICAS"
CEPAL BOG,"Estudio sobre gobernanza, brechas y financiamiento de la protección social y la inclusión social y productiva, desde un enfoque de derechos.",CEPAL BOG-WL-1,WL,¿Cuál es el modelo de gobernanza que se requiere para avanzar en la hoja de ruta de un sistema de protección social desde un enfoque de derechos?  ¿Cuáles serán las competencias e interrelaciones entre Nación – Territorio?  ¿Cuáles serán sus fuentes de financiación?,"protección social, gobernanza, inclusión social, derechos humanos, financiamiento público, sistema de protección","Las principales brechas que se abordarían serían las relacionadas con la protección social, analizando y dando recomendaciones para mejorar la gobernanza, las interrelaciones nación-territorio y las fuentes de financiamiento.","Por medio de este estudio se buscaría avanzar en recomendaciones para fortalecer las siguientes capacidades: colaboración y coordinación entre los diferentes niveles de gobierno, políticas integrales con enfoques transversales en áreas clave del desarrollo y respuestas institucionales rápidas y eficaces frente a crisis, disrupciones y acontecimientos inesperados de alto impacto que trastocan el desarrollo.",Los sectores impulsores por trabajar serían sociedad del cuidado y gobierno digital.,3,"5, 7",¿Qué papel juegan las transferencias intergubernamentales en la sostenibilidad de los sistemas de protección social en países con alta desigualdad regional?,"PROTECCION SOCIAL, DERECHOS SOCIALES, POLÍTICAS PÚBLICAS, DESARROLLO INCLUSIVO"
CEPAL BOG,Estudio sobre la identificación de sistemas agroalimentarios que potencien los vínculos urbanos – rurales como fuente de crecimiento y progreso a nivel territorial. ,CEPAL BOG-WL-2,WL,"¿Qué tanto las relaciones de proximidad se convierten en factores determinantes de la productividad agropecuaria? ¿Qué tipo de modelos de gobernanzas son los más adecuados para una gestión eficientes de los sistemas agroalimentarios? ¿cómo se desarrollan sistemas agroalimentarios positivos con la naturaleza, que favorezcan la industria de alimentos y el hambre cero?","sistemas agroalimentarios, vínculos urbanos rurales, crecimiento territorial, productividad agropecuaria, modelos de gobernanza, gestión eficiente, industria de alimentos, hambre cero","La principal brecha que se busca enfrentar es la elevada desigualdad y baja movilidad y cohesión sociales, así como, crecimiento económico bajo, volátil, excluyente y no sostenible, con baja creación de empleo formal y el desarrollo ambientalmente no sostenible y cambio climático",Por medio de esta agenda de investigación se busca fortalecer las capacidades de conocimiento prospectivo de las entidades públicas del sector agropecuario para responder a los desafíos de sostenibilidad actuales.  Así como contar con mayor conocimiento para la gestión de los procesos transformacionales a nivel territorial.,"De manera preliminar, la investigación contribuye al Gran impulso para la sostenibilidad al promover sistemas agroalimentarios sostenibles y resilientes que contribuyan a la protección de la biodiversidad y a la conservación de servicios ecosistémicos clave para la vida.  Como sectores primarios de impacto, se identifican la economía circular, la bioeconomía: agricultura sostenible, recursos genéticos y bioindustrialización, agricultura para la seguridad alimentaria, gestión sostenible del agua y turismo sostenible. Lo anterior debido a la alta interrelación entre los procesos de producción de alimentos, la biodiversidad y la naturaleza. ","1, 2, 5","4, 10, 11, 12, 13, 14",,"AGRICULTURA Y DESARROLLO RURAL, DESARROLLO TERRITORIAL, CADENAS DE VALOR, SEGURIDAD ALIMENTARIA Y NUTRICIONAL, DESARROLLO SOSTENIBLE, GOBERNANZA DE LOS RECURSOS NATURALES"
DRN,Políticas de fijación de precios/cánones o tarifas al agua cruda para incidir en la creación de señales de escasez y/o contaminación.,DRN-25/26-1,25/26,,"precios agua, gestión recursos hídricos","La principal brecha abordada es la del desarrollo ambientalmente sostenible, reconociendo la necesidad de instaurar señales económicas que impulsen una gestión eficiente y sostenible del agua entre los diversos sectores productivos. Adicionalmente, se atiende a la brecha de crecimiento económico excluyente y no sostenible, así como la alta desigualdad.","Se espera fortalecer las siguientes capacidades de las instituciones públicas: Técnica: Establecer un sistema transparente de cánones y cargos financieros para el uso del agua cruda, asegurando un uso responsable y sostenible del agua en los diversos sectores productivos. Operativa: Establecer que los titulares de concesiones o derechos de agua paguen los cargos financieros correspondientes a estos títulos, así como multas en caso de provocar contaminación y perjuicios ambientales. Los fondos recaudados por dicho concepto deben destinarse al fortalecimiento de la operación de las instituciones hídricas. Políticas: Respaldar y fortalecer de forma continua el funcionamiento de los sistemas de asignación del agua, así como a las normas de otorgamiento y derogación de los derechos de uso.",Gestión sostenible del agua,"1, 2",13,,"RECURSOS HÍDRICOS, MEDIO AMBIENTE, DESARROLLO SOSTENIBLE, GESTIÓN PÚBLICA, POLÍTICAS PÚBLICAS, RECURSOS NATURALES"
DRN,Transición energética y desarrollo de nuevas cadenas de valor más productivas y sostenibles,DRN-25/26-2,25/26,"En esta línea se planifican estudios de los encadenamientos productivos y las cadenas de valor de las nuevas industrias asociadas a la transición energética (solar, eólica, geotérmica, H2V, baterías, infraestructura, partes y piezas, servicios ingeniería, servicios de operación y mantenimiento, diseño, etc.). ¿Qué potencial tiene la región para desarrollar encadenamientos productivos en estas industrias? ¿Qué beneficios (económicos, sociales y ambientales) pueden generar el desarrollo progresivo de las cadenas de valor de estas industrias con mayor retención de valor agregado regional?  ¿Qué políticas se requieren para hacer efectiva la incorporación en las cadenas de valor, y la generación de capacidades locales?","transición energética, cadenas de valor, industrias sostenibles, energía solar, energía eólica, energía geotérmica, hidrógeno, baterías, infraestructura, ingeniería, operación y mantenimiento, diseño, desarrollo económico, beneficios sociales, beneficios ambientales, valor agregado regional, políticas públicas","En esta línea de investigación se abordan dos de los desafíos estructurales: El desarrollo ambientalmente no sostenible y cambio climático; y el crecimiento económico bajo, volátil, excluyente y no sostenible.","Con esta línea de investigación se espera fortalecer las capacidades políticas, técnicas y operativas para: Crear espacios de diálogo multiactor y multinivel para la formulación y el diseño de políticas energéticas y de desarrollo productivo Hacer más efectiva las plataformas de colaboración y articulación políticas para lograr la convergencia de las políticas energéticas y productivas ","Esta línea de investigación está vinculada con los sectores impulsores de transición energética: energías renovables, hidrógeno verde, y litio; electromovilidad; y servicios; así como con el de reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial.","1, 5","4, 8, 9, 15",¿Qué políticas pueden incentivar el desarrollo de energías renovables en la región?,"CADENAS DE VALOR, ENERGÍA, DESARROLLO SOSTENIBLE, CAMBIO CLIMÁTICO,  DESARROLLO INDUSTRIAL, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC), INNOVACIÓN CIENCIA Y TECNOLOGÍA"
DRN,"Océanos, mares y recursos marinos en el desarrollo regional.",DRN-25/26-3,25/26,"¿Cuáles son las contribuciones de los océanos, mares y recursos marinos al desarrollo sostenible de América Latina y el Caribe y cuál es su tendencia en este siglo?","desarrollo regional, desarrollo sostenible, océanos, mares, recursos marinos",La principal brecha abordada es la del desarrollo ambientalmente no sostenible y cambio climático. También juegan un papel muy importante las brechas en la gobernanza compleja y bajas capacidades institucionales por las características territoriales y multiescalares e intertemporales de la biodiversidad marina,"Se espera impulsar o fortalecer las siguientes capacidades de las instituciones públicas:  Técnicas: Integrar a la biodiversidad en el diseño y planificación a mediano y largo plazo de distintos sectores productivos, económicos, financieros y del conocimiento. Operativas: mejorar la coherencia y coordinación del sector ambiental con otros sectores y actores, así como promover el uso de herramientas para la gestión sostenible de los recursos marinos. Políticas: Reforzar el liderazgo de la autoridad ambiental y de biodiversidad para llevar a cabo cambios que nos alejen del desarrollo inercial insostenible, con un Estado activo en promover el diálogo y la coordinación con distintos actores y sectores.","Bioeconomía, agricultura sostenible (agropecuario+ silvicultura+ pesca), recursos genéticos y bioindustrialización. Agricultura para la seguridad alimentaria. Turismo sostenible, Gestión sostenible del agua.","1, 5","4, 11, 12, 13, 14",,"DESARROLLO SOSTENIBLE, DESARROLLO TERRITORIAL, MEDIO AMBIENTE, RECURSOS NATURALES, CAMBIO CLIMÁTICO, BIODIVERSIDAD, GOBERNANZA DE LOS RECURSOS NATURALES"
